experiment_id,label,branches,seed,optimizer,lr,momentum,weight_decay,schedule,warmup_epochs,step_size,gamma,min_lr,normalization,batch_size,dropout,augmentation,early_stopping,patience,epochs_budget,train_samples,val_samples,test_samples,best_val_accuracy,best_epoch,test_loss,test_accuracy,test_checkpoint_epoch,checkpoint_rule,final_train_accuracy,final_val_accuracy,epochs_completed,training_seconds,test_seconds,total_seconds,gpu,python_version,torch_version,torchvision_version,numpy_version,pandas_version,matplotlib_version,split_seed,debug,notebook_version,finished_at
norm_gn_b128,"GroupNorm, batch 128",normalization,2026,sgd_momentum,0.1,0.9,0.0005,constant,0,7,0.1,1e-05,group,128,0.0,False,False,4,20,45000,5000,10000,0.8094,19,0.6429538290023804,0.7983,19,max_val_accuracy,0.9013777777777778,0.8044,20,107.17204403877258,0.797177791595459,107.96922183036804,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T03:08:24
sched_constant_warm,Constant + warm-up,schedule,42,sgd_momentum,0.1,0.9,0.0005,constant,2,7,0.1,1e-05,batch,128,0.0,False,False,4,20,45000,5000,10000,0.8028,16,0.69495126953125,0.8002,16,max_val_accuracy,0.9440888888888889,0.7964,20,104.05549097061157,0.802802562713623,104.8582935333252,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T03:10:09
sched_constant_warm,Constant + warm-up,schedule,2026,sgd_momentum,0.1,0.9,0.0005,constant,2,7,0.1,1e-05,batch,128,0.0,False,False,4,20,45000,5000,10000,0.8102,17,0.6762603892326355,0.8061,17,max_val_accuracy,0.9420666666666667,0.807,20,103.75554251670837,0.8018016815185547,104.55734419822693,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T03:11:54
sched_step,Step decay,schedule,42,sgd_momentum,0.1,0.9,0.0005,step,0,7,0.1,1e-05,batch,128,0.0,False,False,4,20,45000,5000,10000,0.833,19,0.6793146187782287,0.8349,19,max_val_accuracy,0.9998666666666667,0.831,20,104.30483365058899,0.8078413009643555,105.11267495155334,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T03:13:40
sched_step,Step decay,schedule,2026,sgd_momentum,0.1,0.9,0.0005,step,0,7,0.1,1e-05,batch,128,0.0,False,False,4,20,45000,5000,10000,0.851,11,0.6477662086486816,0.8419,11,max_val_accuracy,0.9999777777777777,0.846,20,103.46589708328247,0.8157618045806885,104.28165888786316,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T03:15:25
sched_step_warm,Step decay + warm-up,schedule,42,sgd_momentum,0.1,0.9,0.0005,step,2,7,0.1,1e-05,batch,128,0.0,False,False,4,20,45000,5000,10000,0.8646,13,0.5800655644416809,0.8633,13,max_val_accuracy,1.0,0.864,20,104.08354902267456,0.7856314182281494,104.86918044090271,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T03:17:10
sched_step_warm,Step decay + warm-up,schedule,2026,sgd_momentum,0.1,0.9,0.0005,step,2,7,0.1,1e-05,batch,128,0.0,False,False,4,20,45000,5000,10000,0.8658,17,0.6402075590133667,0.8574,17,max_val_accuracy,0.9999333333333333,0.8626,20,103.46473050117493,0.8076837062835693,104.2724142074585,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T03:18:55
sched_cosine,Cosine,schedule,42,sgd_momentum,0.1,0.9,0.0005,cosine,0,7,0.1,1e-05,batch,128,0.0,False,False,4,20,45000,5000,10000,0.848,17,0.6498409776687623,0.8421,17,max_val_accuracy,0.9999777777777777,0.8454,20,106.35521245002747,0.8296091556549072,107.18482160568237,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T03:20:42
sched_cosine,Cosine,schedule,2026,sgd_momentum,0.1,0.9,0.0005,cosine,0,7,0.1,1e-05,batch,128,0.0,False,False,4,20,45000,5000,10000,0.8534,19,0.6860904623031616,0.8481,19,max_val_accuracy,1.0,0.853,20,105.52296376228333,0.7905330657958984,106.31349682807922,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T03:22:29
sched_cosine_warm,Cosine + warm-up,schedule,42,sgd_momentum,0.1,0.9,0.0005,cosine,2,7,0.1,1e-05,batch,128,0.0,False,False,4,20,45000,5000,10000,0.8724,15,0.6334691223144531,0.8576,15,max_val_accuracy,0.9999555555555556,0.87,20,104.02099299430847,0.8106899261474609,104.83168292045593,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T03:24:14
