global_step,loss,learning_rate,epoch,experiment_id,label,branches,seed,notebook_version,debug
1280,1.2401440143585205,0.1,4,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1300,1.0168876647949219,0.1,4,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1320,0.9390060901641846,0.1,4,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1340,0.7911520004272461,0.1,4,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1360,1.0421056747436523,0.1,4,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1380,1.1573560237884521,0.1,4,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1400,1.155412197113037,0.1,4,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1420,1.13926362991333,0.1,5,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1440,1.0192347764968872,0.1,5,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1460,1.0522414445877075,0.1,5,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1480,0.9846140146255493,0.1,5,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1500,0.8745735883712769,0.1,5,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1520,0.763830304145813,0.1,5,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1540,0.9157679080963135,0.1,5,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1560,0.9299235939979553,0.1,5,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1580,0.9019502401351929,0.1,5,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1600,0.8657184839248657,0.1,5,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1620,1.0805577039718628,0.1,5,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1640,0.6967384815216064,0.1,5,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1660,0.9150510430335999,0.1,5,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1680,1.0086140632629395,0.1,5,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1700,1.1789309978485107,0.1,5,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1720,0.7141433954238892,0.1,5,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1740,1.0589749813079834,0.1,5,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1760,0.8898608684539795,0.1,6,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1780,0.8976762890815735,0.1,6,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1800,1.0022454261779785,0.1,6,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1820,0.9220294952392578,0.1,6,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1840,0.7905492782592773,0.1,6,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1860,0.8507688045501709,0.1,6,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1880,0.8938196897506714,0.1,6,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1900,0.8726914525032043,0.1,6,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1920,1.0814385414123535,0.1,6,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1940,0.793681263923645,0.1,6,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1960,0.7712098360061646,0.1,6,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1980,0.7369409799575806,0.1,6,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
2000,0.7940908074378967,0.1,6,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
2020,0.7778680920600891,0.1,6,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
2040,0.8683688640594482,0.1,6,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
2060,0.8587949872016907,0.1,6,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
2080,0.808037519454956,0.1,6,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
2100,0.7795480489730835,0.1,6,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
2120,0.6708447933197021,0.1,7,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
